locator_type,mutant,result,failure_cause
hook,mutant_alpha(input)_attribute_identifier_modification.txt,success,"N/A"
hook,mutant_alpha(input)_attribute_removal.txt,success,"N/A"
hook,mutant_alpha(input)_attribute_value_modification.txt,success,"N/A"
hook,mutant_alpha(input)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_alpha(input)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
hook,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: ElementNotInteractableException"
hook,mutant_beta(label)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_beta(label)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_beta(label)_html_tag_removal.txt,success,"N/A"
hook,mutant_beta(label)_html_tag_sibling_insertion.txt,success,"N/A"
hook,mutant_beta(label)_html_tag_type_modification.txt,success,"N/A"
hook,mutant_beta(label)_text_content_modification.txt,success,"N/A"
hook,mutant_beta(label)_text_content_removal.txt,success,"N/A"
hook,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
hook,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
hook,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
hook,mutant_epsilon(div)_html_tag_movement_between_templates.txt,success,"N/A"
hook,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
hook,mutant_epsilon(div)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
hook,mutant_epsilon(div)_html_tag_type_modification.txt,success,"N/A"
hook,mutant_gamma(div)_attribute_identifier_modification.txt,success,"N/A"
hook,mutant_gamma(div)_attribute_removal.txt,success,"N/A"
hook,mutant_gamma(div)_attribute_value_modification.txt,success,"N/A"
hook,mutant_gamma(div)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_gamma(div)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
hook,mutant_gamma(div)_html_tag_movement_within_container.txt,success,"N/A"
hook,mutant_gamma(div)_html_tag_removal.txt,success,"N/A"
hook,mutant_gamma(div)_html_tag_sibling_insertion.txt,success,"N/A"
hook,mutant_gamma(div)_html_tag_type_modification.txt,success,"N/A"
absolute,mutant_alpha(input)_attribute_identifier_modification.txt,success,"N/A"
absolute,mutant_alpha(input)_attribute_removal.txt,success,"N/A"
absolute,mutant_alpha(input)_attribute_value_modification.txt,success,"N/A"
absolute,mutant_alpha(input)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_alpha(input)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_alpha(input)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_alpha(input)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_alpha(input)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_beta(label)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_beta(label)_html_tag_movement_to_root.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_beta(label)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_beta(label)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_beta(label)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_beta(label)_text_content_modification.txt,success,"N/A"
absolute,mutant_beta(label)_text_content_removal.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_identifier_modification.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_removal.txt,success,"N/A"
absolute,mutant_epsilon(div)_attribute_value_modification.txt,success,"N/A"
absolute,mutant_epsilon(div)_html_tag_movement_between_templates.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_epsilon(div)_html_tag_movement_within_container.txt,success,"N/A"
absolute,mutant_epsilon(div)_html_tag_removal.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_epsilon(div)_html_tag_sibling_insertion.txt,success,"N/A"
absolute,mutant_epsilon(div)_html_tag_type_modification.txt,failure,"Selenium: NoSuchElementException"
absolute,mutant_gamma(div)_attribute_identifier_modification.txt,success,"N/A"
absolute,mutant_gamma(div)_attribute_removal.txt,success,"N/A"
absolute,mutant_gamma(div)_attribute_value_modification.txt,success,"N/A"
