locator_type;mutant;result;failure_cause;failed_locator
hook;mutant_alpha(input)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_insertion.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_movement_anywhere.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_movement_between_templates.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-9]//*[@x-test-tpl-div-1]//*[@x-test-hook-main-3]//*[@x-test-tpl-section-1]//*[@x-test-hook-input-19]"}"
hook;mutant_alpha(input)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-9]//*[@x-test-tpl-div-1]//*[@x-test-hook-main-3]//*[@x-test-tpl-section-1]//*[@x-test-hook-input-19]"}"
hook;mutant_alpha(input)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_insertion.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_movement_anywhere.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_movement_between_templates.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-9]//*[@x-test-tpl-div-1]//*[@x-test-hook-main-3]//*[@x-test-tpl-section-1]//*[@x-test-hook-input-19]"}"
hook;mutant_beta(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_text_content_removal.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_insertion.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_movement_anywhere.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_movement_between_templates.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_html_tag_type_modification.txt;success;"N/A";"N/A"
