locator_type;mutant;result;failure_cause;failed_locator
hook;mutant_alpha(input)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-8]//*[@x-test-tpl-main-1]//*[@x-test-hook-input-20]"}"
hook;mutant_alpha(input)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
hook;mutant_alpha(input)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
hook;mutant_beta(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_delta_prev(label)_text_content_removal.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
hook;mutant_epsilon(main)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
